"","Teff_early","Tcmp","Teff","SLEC","Tcm","Tex","Tpex","Tpex_IR"
"Ripk3",1,1,1,1,1,1,1,1
"Trappc4",0,0,0,0,1,0,1,1
"Cct8",0,0,0,0,1,1,0,1
"Xist",0,0,0,0,1,1,1,1
"Pdcd4",0,0,0,0,1,0,1,1
"Itm2c",0,0,0,0,1,1,1,0
"Ccl5",0,0,0,0,1,1,1,0
"Gm2000",0,0,0,0,1,1,1,0
"Gapdh",0,0,0,0,1,1,1,1
"Plac8",0,0,0,0,1,1,1,1
"Cox5b",0,0,0,0,1,1,0,1
"Cotl1",0,0,0,0,1,1,1,1
"Txn1",0,0,0,0,1,1,1,1
"Rps18-ps3",0,0,0,0,1,1,1,0
"Rpl10",0,0,0,0,0,1,1,1
"Rps12",0,0,0,0,0,1,1,1
"Fau",0,0,0,0,0,1,1,1
"Rps27l",0,0,0,0,0,1,1,1
"Dnajc15",0,0,0,0,0,1,1,1
"Rpl27",0,0,0,0,0,1,1,1
"Atp5f1",0,0,0,0,0,1,1,1
"Gm8730",0,0,0,0,0,1,1,1
"Rps27",0,0,0,0,0,1,1,1
